Fighter,Opponent,fight_date,odds_date,fighter_odds,opponent_odds,match_score,outcome,event,Outcome,Event,Method,Round,Time,fighter_url,opponent_url,blue_fighter_url,blue_Name,blue_SLpM,blue_Str. Acc.,blue_SApM,blue_Str. Def,blue_TD Avg.,blue_TD Acc.,blue_TD Def.,blue_Sub. Avg.,blue_Height_inches,blue_Weight_lbs,blue_Height (inches),blue_Weight (lbs),blue_Reach (in),blue_Wins,blue_Losses,blue_Draws,blue_Age,blue_STANCE_:Open Stance,blue_STANCE_:Orthodox,blue_STANCE_:Sideways,blue_STANCE_:Southpaw,blue_STANCE_:Switch,blue_STANCE_Unknown,red_fighter_url,red_Name,red_SLpM,red_Str. Acc.,red_SApM,red_Str. Def,red_TD Avg.,red_TD Acc.,red_TD Def.,red_Sub. Avg.,red_Height_inches,red_Weight_lbs,red_Height (inches),red_Weight (lbs),red_Reach (in),red_Wins,red_Losses,red_Draws,red_Age,red_STANCE_:Open Stance,red_STANCE_:Orthodox,red_STANCE_:Sideways,red_STANCE_:Southpaw,red_STANCE_:Switch,red_STANCE_Unknown,slpm_diff,str_acc_diff,sapm_diff,str_def_diff,td_avg_diff,td_acc_diff,td_def_diff,sub_avg_diff,height_inches_diff,weight_lbs_diff,height_(inches)_diff,weight_(lbs)_diff,reach_(in)_diff,wins_diff,losses_diff,draws_diff,age_diff,stance_:open_stance_diff,stance_:orthodox_diff,stance_:sideways_diff,stance_:southpaw_diff,stance_:switch_diff,stance_unknown_diff,Method_Cleaned
Hamdy Abdelwahab,Mohammed Usman,2025-06-21,2025-06-21,1.63,2.39,1.0,loss,"UFC Fight Night: Hill vs. Rountree Jr.Jun. 21, 2025",loss,"UFC Fight Night: Hill vs. Rountree Jr.Jun. 21, 2025",U-DEC,3,5:00,http://ufcstats.com/fighter-details/3329d692aea4dc28,http://ufcstats.com/fighter-details/da7f113b5ea39c43,http://ufcstats.com/fighter-details/3329d692aea4dc28,Hamdy Abdelwahab,3.49,0.49,4.49,0.51,1.33,0.66,1.0,0.0,74.0,264.0,74.0,264.0,72.0,6,1,0,32.4,0,0,0,1,0,0,http://ufcstats.com/fighter-details/da7f113b5ea39c43,Mohammed Usman,3.85,0.39,4.27,0.51,0.56,0.14,0.66,0.0,74.0,239.0,74.0,239.0,79.0,12,4,0,36.2,0,1,0,0,0,0,-0.3599999999999999,0.0999999999999999,0.2200000000000006,0.0,0.77,0.52,0.3399999999999999,0.0,0.0,25.0,0.0,25.0,-7.0,-6,-3,0,-3.800000000000004,0,-1,0,1,0,0,Decision
Jose Aldo,Mario Bautista,2024-10-05,2024-10-05,2.28,1.76,1.0,loss,"UFC 307: Pereira vs. Rountree Jr.Oct. 05, 2024",loss,"UFC 307: Pereira vs. Rountree Jr.Oct. 05, 2024",S-DEC,3,5:00,http://ufcstats.com/fighter-details/d0f3959b4a9747e6,http://ufcstats.com/fighter-details/bc711b6dd95c1af6,http://ufcstats.com/fighter-details/d0f3959b4a9747e6,Jose Aldo,3.65,0.46,3.81,0.6,0.47,0.51,0.92,0.1,67.0,135.0,67.0,135.0,70.0,32,10,0,38.8,0,1,0,0,0,0,http://ufcstats.com/fighter-details/bc711b6dd95c1af6,Mario Bautista,6.13,0.49,4.45,0.55,1.67,0.33,0.67,0.8,69.0,135.0,69.0,135.0,69.0,16,2,0,32.0,0,0,0,0,1,0,-2.48,-0.0299999999999999,-0.6400000000000001,0.0499999999999999,-1.2,0.18,0.25,-0.7000000000000001,-2.0,0.0,-2.0,0.0,1.0,16,8,0,6.799999999999997,0,1,0,0,-1,0,Decision
Cesar Almeida,Ihor Potieria,2024-10-05,2024-10-05,4.2,1.29,1.0,win,"UFC 307: Pereira vs. Rountree Jr.Oct. 05, 2024",win,"UFC 307: Pereira vs. Rountree Jr.Oct. 05, 2024",U-DEC,3,5:00,http://ufcstats.com/fighter-details/64d47ef881a437a4,http://ufcstats.com/fighter-details/260bd4cef10b033f,http://ufcstats.com/fighter-details/64d47ef881a437a4,Cesar Almeida,4.16,0.58,2.32,0.48,0.0,0.0,0.6,0.3,73.0,185.0,73.0,185.0,74.0,7,1,0,37.2,0,1,0,0,0,0,http://ufcstats.com/fighter-details/260bd4cef10b033f,Ihor Potieria,4.44,0.5,4.96,0.5,0.73,0.18,0.66,0.0,75.0,185.0,75.0,185.0,75.0,20,8,0,29.1,0,0,0,1,0,0,-0.2800000000000002,0.0799999999999999,-2.64,-0.02,-0.73,-0.18,-0.06,0.3,-2.0,0.0,-2.0,0.0,-1.0,-13,-7,0,8.100000000000001,0,1,0,-1,0,0,Decision
Ignacio Bahamondes,Rafael Fiziev,2025-06-21,2025-06-21,2.23,1.8,1.0,loss,"UFC Fight Night: Hill vs. Rountree Jr.Jun. 21, 2025",loss,"UFC Fight Night: Hill vs. Rountree Jr.Jun. 21, 2025",U-DEC,3,5:00,http://ufcstats.com/fighter-details/e4a47b07044ddd72,http://ufcstats.com/fighter-details/c814b4c899793af6,http://ufcstats.com/fighter-details/e4a47b07044ddd72,Ignacio Bahamondes,6.55,0.45,4.33,0.56,0.0,0.0,0.75,0.4,75.0,155.0,75.0,155.0,75.0,17,6,0,27.8,0,1,0,0,0,0,http://ufcstats.com/fighter-details/c814b4c899793af6,Rafael Fiziev,4.77,0.52,4.77,0.5,0.89,0.72,0.9,0.0,68.0,155.0,68.0,155.0,71.0,13,4,0,32.3,0,0,0,0,1,0,1.7800000000000002,-0.07,-0.4399999999999995,0.06,-0.89,-0.72,-0.15,0.4,7.0,0.0,7.0,0.0,4.0,4,2,0,-4.4999999999999964,0,1,0,0,-1,0,Decision
Curtis Blaydes,Rizvan Kuniev,2025-06-21,2025-06-21,3.1,1.42,1.0,win,"UFC Fight Night: Hill vs. Rountree Jr.Jun. 21, 2025",win,"UFC Fight Night: Hill vs. Rountree Jr.Jun. 21, 2025",S-DEC,3,5:00,http://ufcstats.com/fighter-details/fa6796c55d6c5440,http://ufcstats.com/fighter-details/739fd4fbb5d862f4,http://ufcstats.com/fighter-details/fa6796c55d6c5440,Curtis Blaydes,3.56,0.5,2.0,0.58,5.38,0.48,0.31,0.0,76.0,265.0,76.0,265.0,80.0,19,5,0,34.3,0,1,0,0,0,0,http://ufcstats.com/fighter-details/739fd4fbb5d862f4,Rizvan Kuniev,4.45,0.58,2.45,0.45,1.45,0.75,0.9,0.0,76.0,240.0,76.0,240.0,76.0,12,3,1,33.3,0,1,0,0,0,0,-0.8900000000000001,-0.0799999999999999,-0.4500000000000002,0.1299999999999999,3.93,-0.27,-0.5900000000000001,0.0,0.0,25.0,0.0,25.0,4.0,7,2,-1,1.0,0,0,0,0,0,0,Decision
Joaquin Buckley,Stephen Thompson,2024-10-05,2024-10-05,2.94,1.5,1.0,win,"UFC 307: Pereira vs. Rountree Jr.Oct. 05, 2024",win,"UFC 307: Pereira vs. Rountree Jr.Oct. 05, 2024",KO/TKOPunch,3,2:17,http://ufcstats.com/fighter-details/b9437600497350f3,http://ufcstats.com/fighter-details/4a28cb716c19157a,http://ufcstats.com/fighter-details/b9437600497350f3,Joaquin Buckley,3.88,0.36,2.93,0.59,1.54,0.45,0.72,0.1,70.0,170.0,70.0,170.0,76.0,21,7,0,31.1,0,0,0,1,0,0,http://ufcstats.com/fighter-details/4a28cb716c19157a,Stephen Thompson,4.05,0.46,3.0,0.54,0.23,0.35,0.63,0.0,72.0,170.0,72.0,170.0,75.0,17,9,1,42.3,0,1,0,0,0,0,-0.1699999999999999,-0.1,-0.0699999999999998,0.0499999999999999,1.31,0.1,0.0899999999999999,0.1,-2.0,0.0,-2.0,0.0,1.0,4,-2,-1,-11.199999999999996,0,-1,0,1,0,0,KO/TKO
Roman Dolidze,Kevin Holland,2024-10-05,2024-10-05,1.69,2.42,1.0,win,"UFC 307: Pereira vs. Rountree Jr.Oct. 05, 2024",win,"UFC 307: Pereira vs. Rountree Jr.Oct. 05, 2024",KO/TKO,1,5:00,http://ufcstats.com/fighter-details/327d5f279895110d,http://ufcstats.com/fighter-details/3a46b268013afede,http://ufcstats.com/fighter-details/327d5f279895110d,Roman Dolidze,3.58,0.42,3.56,0.49,1.11,0.4,0.33,0.9,74.0,185.0,74.0,185.0,76.0,15,3,0,36.9,0,1,0,0,0,0,http://ufcstats.com/fighter-details/3a46b268013afede,Kevin Holland,4.3,0.5,3.22,0.5,0.82,0.38,0.55,0.6,75.0,170.0,75.0,170.0,81.0,28,14,0,32.6,0,1,0,0,0,0,-0.7199999999999998,-0.08,0.3399999999999998,-0.01,0.2900000000000001,0.02,-0.22,0.3,-1.0,15.0,-1.0,15.0,-5.0,-13,-11,0,4.299999999999997,0,0,0,0,0,0,KO/TKO
Oban Elliott,Seokhyeon Ko,2025-06-21,2025-06-21,4.7,1.21,1.0,loss,"UFC Fight Night: Hill vs. Rountree Jr.Jun. 21, 2025",loss,"UFC Fight Night: Hill vs. Rountree Jr.Jun. 21, 2025",U-DEC,3,5:00,http://ufcstats.com/fighter-details/6b56e94a59b7b134,http://ufcstats.com/fighter-details/4a07b1988477502c,http://ufcstats.com/fighter-details/6b56e94a59b7b134,Oban Elliott,3.5,0.48,2.24,0.6,1.7,0.44,0.55,0.0,72.0,170.0,72.0,170.0,72.0,12,3,0,27.5,0,1,0,0,0,0,http://ufcstats.com/fighter-details/4a07b1988477502c,Seokhyeon Ko,2.9,0.52,2.0,0.59,4.0,0.53,0.75,0.5,70.0,170.0,70.0,170.0,71.0,12,2,0,31.7,0,0,0,1,0,0,0.6000000000000001,-0.04,0.2400000000000002,0.01,-2.3,-0.09,-0.1999999999999999,-0.5,2.0,0.0,2.0,0.0,1.0,0,1,0,-4.199999999999999,0,1,0,-1,0,0,Decision
Carla Esparza,Tecia Pennington,2024-10-05,2024-10-05,2.5,1.54,1.0,loss,"UFC 307: Pereira vs. Rountree Jr.Oct. 05, 2024",loss,"UFC 307: Pereira vs. Rountree Jr.Oct. 05, 2024",U-DEC,3,5:00,http://ufcstats.com/fighter-details/d910665038efc639,http://ufcstats.com/fighter-details/31ef8b67e13495b3,http://ufcstats.com/fighter-details/d910665038efc639,Carla Esparza,2.19,0.39,2.87,0.54,3.28,0.36,0.47,0.3,61.0,115.0,61.0,115.0,63.0,20,8,0,37.7,0,1,0,0,0,0,http://ufcstats.com/fighter-details/31ef8b67e13495b3,Tecia Pennington,4.78,0.48,3.48,0.61,0.54,0.13,0.62,0.1,61.0,115.0,61.0,115.0,60.0,15,7,0,35.8,0,1,0,0,0,0,-2.5900000000000003,-0.0899999999999999,-0.6099999999999999,-0.0699999999999999,2.74,0.2299999999999999,-0.15,0.1999999999999999,0.0,0.0,0.0,0.0,3.0,5,1,0,1.9000000000000057,0,0,0,0,0,0,Decision
Bogdan Grad,Muhammad Naimov,2025-06-21,2025-06-21,1.42,3.15,1.0,loss,"UFC Fight Night: Hill vs. Rountree Jr.Jun. 21, 2025",loss,"UFC Fight Night: Hill vs. Rountree Jr.Jun. 21, 2025",U-DEC,3,5:00,http://ufcstats.com/fighter-details/fb37795db81f93f3,http://ufcstats.com/fighter-details/8d11d9c13e2ccdf7,http://ufcstats.com/fighter-details/fb37795db81f93f3,Bogdan Grad,4.44,0.51,5.4,0.49,3.31,0.36,0.75,0.0,68.0,145.0,68.0,145.0,70.0,15,3,0,29.7,0,1,0,0,0,0,http://ufcstats.com/fighter-details/8d11d9c13e2ccdf7,Muhammad Naimov,2.61,0.4,3.45,0.45,1.69,0.36,0.67,0.2,69.0,145.0,69.0,145.0,70.0,13,3,0,30.9,0,1,0,0,0,0,1.8300000000000003,0.1099999999999999,1.95,0.0399999999999999,1.62,0.0,0.0799999999999999,-0.2,-1.0,0.0,-1.0,0.0,0.0,2,0,0,-1.1999999999999993,0,0,0,0,0,0,Decision
