fighter,opponent,date,reason
Jessica Aguilar,Zhang Weili,2024-11-02 20:18:00,No name match above threshold
Jesus Aguilar,Mateus Mendonca,2024-02-02 20:24:00,No name match above threshold
Jesus Aguilar,Erisson Ferreira,2023-08-05 20:22:00,No name match above threshold
Agulali,Mridul Saikia,2022-05-02 20:25:00,No name match above threshold
Iuri Alcantara,Hacran Dias,2023-06-02 20:12:00,No name match above threshold
Irina Alekseeva,Klaudia Sygula,2025-06-21 00:00:00,No name match above threshold
Brendan Allen,Karl Roberson,2024-04-02 20:21:00,No name match above threshold
Ricardo Almeida,Ryo Chonan,2023-05-03 20:04:00,No name match above threshold
Magno Almeida,James Terry,2023-09-19 20:11:00,No name match above threshold
Victor Altamirano,Felipe dos Santos,2024-02-02 20:24:00,No name match above threshold
Amilcar Alves,Charlie Brenneman,2022-01-02 20:11:00,No odds in date range
Rafael Alves,Alejandro Flores,2025-08-04 20:20:00,No name match above threshold
Andre Amado,KJ Noons,2022-03-13 20:10:00,No name match above threshold
Adlan Amagov,Ron Stallings,2022-07-17 20:11:00,No name match above threshold
Jimmy Ambriz,Ikuhisa Minowa,2022-03-13 20:10:00,No name match above threshold
Bertrand Amoussou,Raou Raou,2023-05-03 20:04:00,No name match above threshold
Alex Andrade,Murilo Rua,2023-12-02 20:01:00,No name match above threshold
Jessica Andrade,Valentina Shevchenko,2024-04-02 20:21:00,No name match above threshold
Jin Aoi,ChangMin Yoon,2022-05-02 20:25:00,No name match above threshold
Shinya Aoki,Rob McCullough,2024-09-17 20:11:00,No name match above threshold
Aoriqileng,Jeff Molina,2024-04-02 20:21:00,No name match above threshold
Josh Appelt,Jeff Hughes,2024-07-06 20:18:00,No name match above threshold
Felipe Arantes,Milton Vieira,2023-06-02 20:12:00,No name match above threshold
Ricardo Arona,Murilo Rua,2024-11-02 20:02:00,No name match above threshold
Eli Aronov,Zachary Reese,2022-08-03 20:23:00,No name match above threshold
Chalid Arrab,Kazuhiro Nakamura,2023-05-03 20:04:00,No name match above threshold
Gilles Arsene,Kazushi Sakuraba,2024-11-02 20:02:00,No name match above threshold
Bazigit Atajev,Alistair Overeem,2023-12-03 20:02:00,No name match above threshold
Luiz Azeredo,Takanori Gomi,2022-05-07 20:05:00,No name match above threshold
Miguel Baeza,Victor Reyna,2025-06-02 20:19:00,No name match above threshold
Balajin,Keisuke Sasu,2023-10-05 20:22:00,No name match above threshold
Antonio Banuelos,Hideo Tokoro,2024-09-17 20:11:00,No name match above threshold
Raoni Barcelos,Cristian Quinonez,2024-02-02 20:24:00,No name match above threshold
Josh Barnett,Siala Siliga,2022-03-13 20:10:00,No name match above threshold
Phil Baroni,Ikuhisa Minowa,2022-05-07 20:05:00,No name match above threshold
Francimar Barroso,Hans Stringer,2023-03-02 20:14:00,No name match above threshold
Pat Barry,Joey Beltran,2022-01-02 20:11:00,No odds in date range
Namsrai Batbayar,Wataru Yamauchi,2022-05-02 20:25:00,No name match above threshold
Mario Bautista,Jose Aldo,2024-10-05 00:00:00,No name match above threshold
Jack Becker,JaeHyun Park,2023-05-04 20:25:00,No name match above threshold
Joey Beltran,Pat Barry,2022-01-02 20:11:00,No odds in date range
Charles Bennett,Yoshiro Maeda,2022-05-07 20:05:00,No name match above threshold
Dennis Bermudez,Max Holloway,2025-05-02 20:13:00,No name match above threshold
Keith Berry,Trevor Smith,2024-06-16 20:11:00,No name match above threshold
Anton Berzin,Kennedy Nzechukwu,2022-08-07 20:17:00,No name match above threshold
Chris Birchler,Jimmy Crute,2024-07-06 20:18:00,No name match above threshold
Angad Bisht,DongHun Choi,2023-08-06 20:24:00,No name match above threshold
Jason Black,Chad W. Saunders,2023-11-03 20:02:00,No name match above threshold
Curtis Blaydes,Francis Ngannou,2024-11-02 20:18:00,No name match above threshold
Denys Bondar,Ronaldo Rodriguez,2024-02-02 20:24:00,No name match above threshold
Kyron Bowen,Collin Huckbody,2025-08-04 20:20:00,No name match above threshold
Brian Bowles,George Roop,2025-05-02 20:13:00,No name match above threshold
Roger Bowling,Bobby Voelker,2022-07-17 20:11:00,No name match above threshold
