fold,test_start,test_end,test_samples,test_accuracy,train_accuracy,overfitting_gap
1,2004-02-02 20:08:00,2004-05-02 20:08:00,56,0.875,0.741,-0.134
2,2004-05-02 20:08:00,2004-08-02 20:08:00,56,0.9821428571428571,0.741,-0.2411428571428571
3,2004-08-02 20:08:00,2004-11-02 20:08:00,24,0.7916666666666666,0.741,-0.05066666666666664
4,2005-05-02 20:08:00,2005-08-02 20:08:00,14,0.9285714285714286,0.741,-0.1875714285714286
5,2005-08-02 20:08:00,2005-11-02 20:08:00,66,0.9090909090909091,0.741,-0.16809090909090907
6,2005-11-02 20:08:00,2006-02-02 20:08:00,22,1.0,0.741,-0.259
7,2006-02-02 20:08:00,2006-05-02 20:08:00,42,0.9761904761904762,0.741,-0.23519047619047617
8,2006-05-02 20:08:00,2006-08-02 20:08:00,18,1.0,0.741,-0.259
9,2006-08-02 20:08:00,2006-11-02 20:08:00,42,0.9761904761904762,0.741,-0.23519047619047617
10,2006-11-02 20:08:00,2007-02-02 20:08:00,102,0.9313725490196079,0.741,-0.19037254901960787
