fighter_url,Name,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Height_inches,Weight_lbs,Height (inches),Weight (lbs),Reach (in),Wins,Losses,Draws,Age,STANCE_:Open Stance,STANCE_:Orthodox,STANCE_:Sideways,STANCE_:Southpaw,STANCE_:Switch,STANCE_Unknown
http://ufcstats.com/fighter-details/93fe7332d16c6ad9,Tom Aaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,155.0,,155.0,,5,3,0,46.9,0,0,0,0,0,1
http://ufcstats.com/fighter-details/15df64c02b6b0fde,Danny Abbadi,3.29,0.38,4.41,0.57,0.0,0.0,0.77,0.0,71.0,155.0,71.0,155.0,,4,6,0,42.0,0,1,0,0,0,0
http://ufcstats.com/fighter-details/59a9d6dac61c2540,Nariman Abbasov,3.0,0.2,5.67,0.46,0.0,0.0,0.66,0.0,68.0,155.0,68.0,155.0,66.0,28,4,0,31.4,0,1,0,0,0,0
http://ufcstats.com/fighter-details/b361180739bed4b0,David Abbott,1.35,0.3,3.55,0.38,1.07,0.33,0.66,0.0,72.0,265.0,72.0,265.0,,10,15,0,60.1,0,0,0,0,1,0
http://ufcstats.com/fighter-details/3329d692aea4dc28,Hamdy Abdelwahab,3.49,0.49,4.49,0.51,1.33,0.66,1.0,0.0,74.0,264.0,74.0,264.0,72.0,6,1,0,32.4,0,0,0,1,0,0
http://ufcstats.com/fighter-details/841695e02c99a521,Mansur Abdul-Malik,4.27,0.48,3.49,0.51,0.49,0.33,0.82,0.0,74.0,185.0,74.0,185.0,80.0,8,0,1,27.7,0,1,0,0,0,0
http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,Shamil Abdurakhimov,2.41,0.44,3.02,0.55,1.01,0.23,0.45,0.1,75.0,235.0,75.0,235.0,76.0,20,8,0,43.8,0,1,0,0,0,0
http://ufcstats.com/fighter-details/c0ed7b208197e8de,Hiroyuki Abe,1.71,0.36,3.11,0.63,0.0,0.0,0.33,0.0,66.0,145.0,66.0,145.0,,8,15,3,,0,1,0,0,0,0
http://ufcstats.com/fighter-details/5140122c3eecd307,Daichi Abe,3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0,71.0,170.0,71.0,170.0,71.0,6,2,0,33.6,0,1,0,0,0,0
http://ufcstats.com/fighter-details/c9f6385af6df66d7,Papy Abedi,2.8,0.55,3.15,0.48,3.47,0.57,0.5,1.3,71.0,185.0,71.0,185.0,,10,4,0,47.0,0,0,0,1,0,0
http://ufcstats.com/fighter-details/aa6e591c2a2cdecd,Ricardo Abreu,3.79,0.31,3.98,0.68,2.13,0.42,1.0,0.7,71.0,185.0,71.0,185.0,,5,1,0,41.1,0,1,0,0,0,0
http://ufcstats.com/fighter-details/7279654c7674cd24,Klidson Abreu,2.05,0.4,2.9,0.55,0.64,0.2,0.8,0.0,72.0,205.0,72.0,205.0,74.0,15,4,0,32.5,0,1,0,0,0,0
http://ufcstats.com/fighter-details/f689bd7bbd14b392,Cyborg Abreu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,0,0,44.5,0,0,0,0,0,1
http://ufcstats.com/fighter-details/1c5879330d42255f,Daniel Acacio,3.52,0.36,2.85,0.62,0.33,0.2,0.81,0.0,68.0,180.0,68.0,180.0,,30,18,0,47.5,0,1,0,0,0,0
http://ufcstats.com/fighter-details/989b85f6540c86b1,John Adajar,3.9,0.52,6.28,0.44,0.0,0.0,0.0,0.0,69.0,170.0,69.0,170.0,75.0,6,2,0,34.0,0,1,0,0,0,0
