fold,test_start,test_end,train_samples,test_samples,train_accuracy,test_accuracy,overfitting_gap,betting_roi,n_bets
1,2021-01-01,2021-04-01,3040,908,0.9483552631578948,0.7125550660792952,0.23580019707859956,58.490566037735846,265
2,2021-04-01,2021-07-01,3948,16,0.8941236068895644,0.75,0.14412360688956438,100.0,2
3,2021-07-01,2021-10-01,3964,10,0.9349142280524723,1.0,-0.06508577194752774,100.0,5
4,2021-10-01,2022-01-01,3974,50,0.9350780070457977,0.64,0.2950780070457977,9.090909090909092,11
5,2022-01-01,2022-04-01,4024,994,0.9321570576540755,0.7122736418511066,0.21988341580296888,58.075601374570454,291
6,2022-04-01,2022-07-01,5018,42,0.8886010362694301,0.7142857142857143,0.1743153219837158,100.0,12
7,2022-07-01,2022-10-01,5060,36,0.916798418972332,0.8333333333333334,0.08346508563899868,73.33333333333333,15
8,2022-10-01,2023-01-01,5096,26,0.9162087912087912,0.6153846153846154,0.30082417582417575,0.0,8
9,2023-01-01,2023-04-01,5122,924,0.9213197969543148,0.7121212121212122,0.2091985848331026,61.62361623616236,271
10,2023-04-01,2023-07-01,6046,66,0.8893483294740324,0.7121212121212122,0.17722711735282026,54.54545454545454,22
11,2023-07-01,2023-10-01,6112,68,0.9078861256544503,0.75,0.15788612565445026,91.30434782608695,23
12,2023-10-01,2024-01-01,6180,64,0.9061488673139159,0.71875,0.18739886731391586,62.5,16
13,2024-01-01,2024-04-01,6244,848,0.9050288276745676,0.7629716981132075,0.14205712956136007,66.15384615384615,260
14,2024-04-01,2024-07-01,7092,42,0.8880428652002256,0.6190476190476191,0.2689952461526065,25.0,16
15,2024-07-01,2024-10-01,7134,42,0.8993552004485562,0.6428571428571429,0.2564980575914133,50.0,12
