fighter_url,Name,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Height_inches,Weight_lbs,Height (inches),Weight (lbs),Reach (in),Wins,Losses,Draws,Age,STANCE_:Open Stance,STANCE_:Orthodox,STANCE_:Sideways,STANCE_:Southpaw,STANCE_:Switch,STANCE_Unknown,elo_overall_rating,elo_striking_rating,elo_grappling_rating,elo_cardio_rating,elo_rating_deviation,elo_total_fights,elo_ufc_fights,elo_title_fights,elo_main_events,elo_current_streak,elo_win_percentage,elo_finish_percentage,elo_last_fight_date,elo_last_updated,elo_active_status
http://ufcstats.com/fighter-details/d1053e55f00e53fe,AJ Cunningham,4.22,0.29,6.31,0.48,0.0,0.0,0.46,0.5,70.0,135.0,70.0,135.0,71.0,11.0,5.0,0.0,30.8,0.0,1.0,0.0,0.0,0.0,0.0,1260.35,1294.92,1333.57,1327.52,260.0,6.0,6.0,0.0,0.0,-6.0,0.0,0.0,2025-03-15,2025-03-15 00:00:00,active
http://ufcstats.com/fighter-details/009c4420727149ea,AJ Dobson,4.29,0.46,5.31,0.46,1.67,0.75,0.65,0.3,73.0,185.0,73.0,185.0,76.0,7.0,3.0,0.0,33.4,0.0,1.0,0.0,0.0,0.0,0.0,1372.72,1364.09,1390.98,1371.59,200.0,10.0,10.0,0.0,0.0,-2.0,0.0,0.0,2024-03-23,2024-03-23 00:00:00,active
http://ufcstats.com/fighter-details/725b1abc9a39d873,AJ Fletcher,3.36,0.49,4.61,0.46,1.54,0.35,0.33,0.9,70.0,170.0,70.0,170.0,67.0,10.0,3.0,0.0,28.3,0.0,0.0,0.0,0.0,1.0,0.0,1374.31,1391.43,1373.99,1354.85,200.0,10.0,10.0,0.0,0.0,-2.0,0.0,0.0,2023-09-23,2023-09-23 00:00:00,active
http://ufcstats.com/fighter-details/0adf1aacda5e26ac,AJ Fonseca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,145.0,64.0,145.0,,5.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1343.64,1360.53,1356.85,1349.66,320.0,2.0,2.0,0.0,0.0,-2.0,0.0,0.0,2009-12-19,2009-12-19 00:00:00,active
http://ufcstats.com/fighter-details/18e4f61f16f458c6,AJ Matthews,5.11,0.52,4.96,0.51,0.0,0.0,1.0,0.0,71.0,185.0,71.0,185.0,,8.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1326.88,1342.65,1371.84,1368.02,320.0,2.0,2.0,0.0,0.0,-2.0,0.0,0.0,2011-04-09,2011-04-09 00:00:00,active
http://ufcstats.com/fighter-details/f3ec0214794a699e,AJ McKee,2.75,0.32,0.92,0.8,11.01,1.0,1.0,11.0,70.0,145.0,70.0,145.0,,8.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
http://ufcstats.com/fighter-details/fce9b4056a8ef559,AJ Siscoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,135.0,67.0,135.0,,1.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
http://ufcstats.com/fighter-details/003d82fa384ca1d0,Aalon Cruz,7.58,0.39,8.88,0.58,0.0,0.0,0.0,0.0,72.0,145.0,72.0,145.0,78.0,8.0,4.0,0.0,35.7,0.0,0.0,0.0,0.0,1.0,0.0,1327.8,1343.9,1372.01,1368.26,260.0,6.0,6.0,0.0,0.0,-4.0,0.0,0.0,2021-03-06,2021-03-06 00:00:00,active
http://ufcstats.com/fighter-details/cf1a88371c8cb690,Aaron Brink,3.49,0.42,5.71,0.57,0.0,0.0,0.0,0.0,75.0,205.0,75.0,205.0,,26.0,26.0,0.0,50.6,0.0,1.0,0.0,0.0,0.0,0.0,1412.6,1423.02,1379.58,1399.3,260.0,6.0,6.0,0.0,0.0,3.0,0.0,0.0,2002-07-05,2002-07-05 00:00:00,active
http://ufcstats.com/fighter-details/1741343f0ca34dd5,Aaron Ely,0.82,0.15,0.66,0.69,2.47,1.0,0.5,4.9,68.0,135.0,68.0,135.0,,5.0,2.0,0.0,36.2,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
http://ufcstats.com/fighter-details/ccdcb20370be62a3,Aaron Jeffery,3.1,0.45,4.46,0.34,0.0,0.0,0.5,0.0,74.0,185.0,74.0,185.0,73.0,10.0,3.0,0.0,32.6,0.0,1.0,0.0,0.0,0.0,0.0,1285.89,1335.53,1306.45,1315.78,290.0,4.0,4.0,0.0,0.0,-4.0,0.0,0.0,2021-09-28,2021-09-28 00:00:00,active
http://ufcstats.com/fighter-details/d73e856f150744b2,Aaron Lanfranco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,155.0,,155.0,,5.0,1.0,0.0,38.8,0.0,0.0,0.0,0.0,0.0,1.0,1459.03,1444.3,1419.58,1423.46,320.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2011-02-18,2011-02-18 00:00:00,active
http://ufcstats.com/fighter-details/a4d055f1435d6d75,Aaron Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,145.0,69.0,145.0,,14.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
http://ufcstats.com/fighter-details/34c2b3656f88f7ef,Aaron Phillips,1.51,0.53,3.66,0.43,0.86,0.5,0.44,0.6,69.0,135.0,69.0,135.0,71.0,12.0,5.0,0.0,35.9,0.0,0.0,0.0,1.0,0.0,0.0,1216.63,1280.51,1258.49,1252.59,230.0,8.0,8.0,0.0,0.0,-8.0,0.0,0.0,2023-04-15,2023-04-15 00:00:00,active
http://ufcstats.com/fighter-details/5537efc6e496dd84,Aaron Pico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,145.0,,145.0,,13.0,4.0,0.0,28.7,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
http://ufcstats.com/fighter-details/f2c8ebbeafd45f2b,Aaron Riley,3.45,0.34,3.78,0.61,1.18,0.34,0.6,0.1,68.0,155.0,68.0,155.0,69.0,30.0,14.0,1.0,44.5,0.0,0.0,0.0,1.0,0.0,0.0,1371.02,1332.3,1378.6,1379.91,74.4,20.0,20.0,0.0,0.0,-4.0,0.0,0.0,2013-07-27,2013-07-27 00:00:00,active
http://ufcstats.com/fighter-details/11f8860028b68fcf,Aaron Rosa,4.03,0.47,4.41,0.45,0.36,0.33,0.85,0.4,76.0,205.0,76.0,205.0,77.0,18.0,6.0,0.0,42.1,0.0,1.0,0.0,0.0,0.0,0.0,1339.99,1353.65,1411.15,1401.86,200.0,10.0,10.0,0.0,0.0,-2.0,0.0,0.0,2012-03-02,2012-03-02 00:00:00,active
http://ufcstats.com/fighter-details/d5f820c11a121050,Aaron Simpson,3.6,0.52,2.53,0.56,3.78,0.34,0.83,0.5,72.0,170.0,72.0,170.0,73.0,12.0,5.0,0.0,50.9,0.0,1.0,0.0,0.0,0.0,0.0,1557.21,1535.41,1511.87,1520.94,50.0,24.0,24.0,0.0,0.0,-2.0,0.0,0.0,2012-10-05,2012-10-05 00:00:00,active
http://ufcstats.com/fighter-details/7abf7f8778472b7b,Aaron Tau,4.47,0.52,3.99,0.58,0.8,0.33,0.54,0.0,64.0,125.0,64.0,125.0,66.0,10.0,1.0,0.0,31.8,0.0,0.0,0.0,0.0,1.0,0.0,1428.38,1424.32,1388.5,1386.25,290.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,2025-05-22,2025-05-22 00:00:00,active
http://ufcstats.com/fighter-details/cc18abc046b382c9,Aaron Trujillo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,125.0,65.0,125.0,,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1473.12,1457.35,1428.16,1431.98,320.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2008-10-03,2008-10-03 00:00:00,active
http://ufcstats.com/fighter-details/1ce7998e0a215caa,Aaron Wetherspoon,2.27,0.32,4.33,0.45,0.0,0.0,0.77,0.0,,170.0,,170.0,,9.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1364.48,1366.19,1369.05,1359.85,320.0,2.0,2.0,0.0,0.0,-2.0,0.0,0.0,2007-06-22,2007-06-22 00:00:00,active
http://ufcstats.com/fighter-details/338a11d3674eb2d4,Aaron Wilkinson,0.0,0.0,0.0,1.0,7.32,1.0,0.0,0.0,70.0,155.0,70.0,155.0,,11.0,7.0,0.0,38.4,0.0,1.0,0.0,0.0,0.0,0.0,1331.55,1371.84,1342.65,1360.53,320.0,2.0,2.0,0.0,0.0,-2.0,0.0,0.0,2010-12-04,2010-12-04 00:00:00,active
http://ufcstats.com/fighter-details/b593cd58b0afffb0,Abdellah Er-Ramy,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,72.0,185.0,72.0,185.0,74.0,7.0,2.0,0.0,28.7,0.0,1.0,0.0,0.0,0.0,0.0,1348.95,1352.92,1379.17,1375.54,320.0,2.0,2.0,0.0,0.0,-2.0,0.0,0.0,2024-10-01,2024-10-01 00:00:00,active
http://ufcstats.com/fighter-details/968764372c49eab6,Abdul Azeem Badakhshi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,145.0,,145.0,,13.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
http://ufcstats.com/fighter-details/eae431e70064e046,Abdul Razak Alhassan,3.64,0.49,4.01,0.54,0.84,0.33,0.51,0.2,70.0,185.0,70.0,185.0,73.0,12.0,7.0,0.0,39.8,0.0,1.0,0.0,0.0,0.0,0.0,1448.41,1419.79,1350.6,1351.88,50.0,28.0,28.0,0.0,0.0,-3.0,0.0,0.0,2025-01-11,2025-01-11 00:00:00,active
http://ufcstats.com/fighter-details/597499ac7a5aac62,Abdul-Kareem Al-Selwady,4.14,0.34,3.6,0.59,2.32,0.3,0.2,0.0,68.0,155.0,68.0,155.0,69.0,15.0,4.0,0.0,30.2,0.0,1.0,0.0,0.0,0.0,0.0,1375.39,1374.31,1413.29,1416.1,290.0,4.0,4.0,0.0,0.0,-2.0,0.0,0.0,2024-03-02,2024-03-02 00:00:00,active
http://ufcstats.com/fighter-details/37e03538c960bac6,Abdul-Kerim Edilov,10.22,0.61,0.13,0.92,3.98,1.0,0.0,2.0,74.0,205.0,74.0,205.0,,17.0,4.0,0.0,33.6,0.0,1.0,0.0,0.0,0.0,0.0,1448.88,1442.41,1423.83,1426.63,320.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2017-09-02,2017-09-02 00:00:00,active
http://ufcstats.com/fighter-details/95aff2fd8d09a5f0,Abdul-Rakhman Yakhyaev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,205.0,,205.0,,6.0,0.0,0.0,24.5,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
http://ufcstats.com/fighter-details/2f8f3c69522db931,Abel Cullum,1.82,0.4,1.23,0.46,4.01,0.52,0.0,2.8,67.0,139.0,67.0,139.0,,20.0,6.0,0.0,38.2,0.0,1.0,0.0,0.0,0.0,0.0,1308.04,1393.24,1352.99,1385.77,260.0,6.0,6.0,0.0,0.0,-4.0,0.0,0.0,2011-09-24,2011-09-24 00:00:00,active
http://ufcstats.com/fighter-details/e14b5aa06eea9653,Abel Trujillo,2.65,0.41,2.31,0.59,2.18,0.45,0.4,0.4,68.0,155.0,68.0,155.0,70.0,15.0,8.0,0.0,41.7,0.0,1.0,0.0,0.0,0.0,0.0,1541.98,1501.37,1467.87,1467.2,60.27,22.0,22.0,0.0,0.0,-4.0,0.0,0.0,2017-12-16,2017-12-16 00:00:00,active
http://ufcstats.com/fighter-details/6448e57a9533b7e4,Abner Lloveras,6.27,0.49,6.87,0.43,2.0,0.2,0.0,0.0,71.0,155.0,71.0,155.0,,20.0,9.0,1.0,42.8,0.0,0.0,0.0,0.0,0.0,1.0,1355.04,1366.9,1360.3,1354.2,320.0,2.0,2.0,0.0,0.0,-2.0,0.0,0.0,2015-12-11,2015-12-11 00:00:00,active
